1;CNPJ_CPF;14;1;14
2;IE;14;15;28
3;Razao_Social;35;29;63
4;UF;2;64;65
5;CLASSE_CONS;1;66;66
6;TIPO_UTILIZ;1;67;67
7;GRUPO_TENSAO;2;68;69
8;CADG_COD;12;70;81
9;DATA_EMISSAO;8;82;89
10;MODELO;2;90;91
11;SERIE;3;92;94
12;NUMERO_NF;9;95;103
13;HASH_COD_NF;32;104;135
14;VALOR_TOTAL;12;136;147
15;BASE_ICMS;12;148;159
16;VALOR_ICMS;12;160;171
17;ISENTAS_ICMS;12;172;183
18;OUTROS_VALORES;12;184;195
19;SIT_DOC;1;196;196
20;MES_REFERENCIA;4;197;200
21;REF_ITEM_NF;9;201;209
22;TERMINAL_TELEF;12;210;221
23;IND_CAMPO_01;1;222;222
24;TIPO_CLIENTE;2;223;224
25;SUB_CLASSE;2;225;226
26;TERMINAL_PRINC;12;227;238
27;CNPJ_EMIT;14;239;252
28;NUM_FAT;20;253;272
29;VALOR_FAT;12;273;284
30;Brancos2;109;285;393
31;HASH_CODE_ARQ;32;394;425
